UNI_ID,UNI_Name,Type,Province,City,Established_Year,HEC_Ranking,HEC_Category,Department_Name,Department_Category,Year,Total_Enrollment,Male_Enrollment,Female_Enrollment,Faculty_Count,Student_Faculty_Ratio,PhD_Students,MS_MPhil_Students,BS_Students,Scholarship_Students,International_Students,Research_Papers_Published,Avg_CGPA,Employment_Ratio_Pct,Dropout_Rate_Pct,Avg_Student_Background,Fee_Per_Semester_PKR,Lab_Count,Industry_Tie_Ups,Entry_Test_Required,Entry_Test_Type,Entry_Test_Tier,Entry_Test_Passing_Criteria,No_of_Buildings
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2022,276,197,79,11,25.1,,32,,23,6,63,2.79,70.7,3,Mixed Urban-Rural,24613,,16,Yes,MUST Entry Test,Easy,45% / 100 marks,
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2023,231,146,85,8,28.9,,,,10,30,75,3.34,73.8,17.6,Mostly Rural,12937,17,8,Yes,MUST Entry Test,Easy,45% / 100 marks,10
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2024,264,153,111,11,24,6,38,220,,55,47,3.61,65.6,9.4,Mixed Urban-Rural,25953,5,18,Yes,MUST Entry Test,Easy,45% / 100 marks,9
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2025,284,168,116,11,25.8,8,54,222,56,24,52,,64.9,3.5,Mostly Rural,,,,Yes,MUST Entry Test,Easy,45% / 100 marks,12
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2022,96,56,40,5,19.2,6,16,74,7,,72,2.86,88.1,17.7,Mixed Urban-Rural,12686,6,,Yes,MUST Entry Test,Easy,45% / 100 marks,
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2023,95,54,41,5,19,,2,,,42,,2.91,79.8,12.3,Mostly Urban,,10,,Yes,MUST Entry Test,Easy,45% / 100 marks,8
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2024,86,39,47,5,17.2,,7,,17,41,38,,89.2,4.7,Mostly Rural,25185,15,23,Yes,MUST Entry Test,Easy,45% / 100 marks,12
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2025,102,41,61,5,20.4,6,2,94,7,9,48,3.13,89.6,8.7,Mostly Urban,39700,6,8,Yes,MUST Entry Test,Easy,45% / 100 marks,12
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2022,399,259,140,12,33.2,18,12,369,45,,75,3.54,73.3,1.8,Mostly Urban,,1,17,Yes,MUST Entry Test,Easy,45% / 100 marks,12
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2023,398,153,245,11,36.2,27,73,298,9,39,16,,75.5,5.2,Mixed Urban-Rural,9444,15,4,Yes,MUST Entry Test,Easy,45% / 100 marks,11
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2024,371,255,116,11,33.7,21,55,295,,27,65,2.96,82.9,14.9,Mostly Urban,44072,12,,Yes,MUST Entry Test,Easy,45% / 100 marks,8
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2025,401,216,185,15,26.7,1,74,326,41,5,46,3.31,69,3,Mixed Urban-Rural,40124,9,3,Yes,MUST Entry Test,Easy,45% / 100 marks,9
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Industrial Engineering,STEM,2022,358,150,208,14,25.6,9,,,17,24,60,3.44,76.3,17.8,Mixed Urban-Rural,20081,13,22,Yes,MUST Entry Test,Easy,45% / 100 marks,10
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Industrial Engineering,STEM,2023,346,245,101,10,34.6,9,18,319,10,,48,2.67,72.2,6,Mixed Urban-Rural,37171,7,,Yes,MUST Entry Test,Easy,45% / 100 marks,9
