UNI_ID,UNI_Name,Type,Province,City,Established_Year,HEC_Ranking,HEC_Category,Department_Name,Department_Category,Year,Total_Enrollment,Male_Enrollment,Female_Enrollment,Faculty_Count,Student_Faculty_Ratio,PhD_Students,MS_MPhil_Students,BS_Students,Scholarship_Students,International_Students,Research_Papers_Published,Avg_CGPA,Employment_Ratio_Pct,Dropout_Rate_Pct,Avg_Student_Background,Fee_Per_Semester_PKR,Lab_Count,Industry_Tie_Ups,Entry_Test_Required,Entry_Test_Type,Entry_Test_Tier,Entry_Test_Passing_Criteria,No_of_Buildings
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Civil Engineering,STEM,2022,276,197,79,11,25.1,0.0,32.0,244.0,23.0,6.0,63.0,2.79,70.7,3.0,Mixed Urban-Rural,24613.0,10.0,16.0,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Civil Engineering,STEM,2023,231,146,85,8,28.9,0.0,0.0,231.0,10.0,30.0,75.0,3.34,73.8,17.6,Mostly Rural,12937.0,17.0,8.0,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Civil Engineering,STEM,2024,264,153,111,11,24.0,6.0,38.0,220.0,22.5,55.0,47.0,3.61,65.6,9.4,Mixed Urban-Rural,25953.0,5.0,18.0,Yes,MUST Entry Test,Easy,45% / 100 marks,9.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Civil Engineering,STEM,2025,284,168,116,11,25.8,8.0,54.0,222.0,56.0,24.0,52.0,3.325,64.9,3.5,Mostly Rural,24962.0,10.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Computer Science,STEM,2022,96,56,40,5,19.2,6.0,16.0,74.0,7.0,26.0,72.0,2.86,88.1,17.7,Mixed Urban-Rural,12686.0,6.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Computer Science,STEM,2023,95,54,41,5,19.0,0.0,2.0,93.0,22.5,42.0,52.0,2.91,79.8,12.3,Mostly Urban,24962.0,10.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,8.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Computer Science,STEM,2024,86,39,47,5,17.2,0.0,7.0,79.0,17.0,41.0,38.0,3.325,89.2,4.7,Mostly Rural,25185.0,15.0,23.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Computer Science,STEM,2025,102,41,61,5,20.4,6.0,2.0,94.0,7.0,9.0,48.0,3.13,89.6,8.7,Mostly Urban,39700.0,6.0,8.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Electrical Engineering,STEM,2022,399,259,140,12,33.2,18.0,12.0,369.0,45.0,26.0,75.0,3.54,73.3,1.8,Mostly Urban,24962.0,1.0,17.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,0,W1,Electrical Engineering,STEM,2023,398,153,245,11,36.2,27.0,73.0,298.0,9.0,39.0,16.0,3.325,75.5,5.2,Mixed Urban-Rural,9444.0,15.0,4.0,Yes,MUST Entry Test,Easy,45% / 100 marks,11.0
