UNI_ID,UNI_Name,Type,Province,City,Established_Year,HEC_Ranking,HEC_Category,Department_Name,Department_Category,Year,Total_Enrollment,Male_Enrollment,Female_Enrollment,Faculty_Count,Student_Faculty_Ratio,PhD_Students,MS_MPhil_Students,BS_Students,Scholarship_Students,International_Students,Research_Papers_Published,Avg_CGPA,Employment_Ratio_Pct,Dropout_Rate_Pct,Avg_Student_Background,Fee_Per_Semester_PKR,Lab_Count,Industry_Tie_Ups,Entry_Test_Required,Entry_Test_Type,Entry_Test_Tier,Entry_Test_Passing_Criteria,No_of_Buildings,HEC_Ranking_is_imputed,Industry_Tie_Ups_is_imputed,Fee_Per_Semester_PKR_is_imputed,Scholarship_Students_is_imputed,International_Students_is_imputed,Avg_CGPA_is_imputed,No_of_Buildings_is_imputed,Lab_Count_is_imputed,Dropout_Rate_Pct_is_imputed,Research_Papers_Published_is_imputed,BS_Students_is_imputed,PhD_Students_is_imputed,MS_MPhil_Students_is_imputed,Avg_Student_Background_is_imputed,Entry_Test_Tier_is_imputed,Entry_Test_Passing_Criteria_is_imputed,Female_Share_Pct,Gender_Balance_Category,Annual_Fee_PKR,Fee_Band,Research_Per_Faculty,Campus_Density,Is_Overcrowded,PG_Ratio,Is_Research_Focused,Selectivity_Score,University_Score,Fee_Value_Score,Peer_CGPA_Gap,Risk_Index
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2022,276,197,79,11,25.1,0.0,32.0,244.0,23.0,6.0,63.0,2.79,70.7,3.0,Mixed Urban-Rural,24613.0,10.0,16.0,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,28.6231884057971,Male Dominated,49226.0,Mid,5.7272727272727275,27.6,0,11.594202898550725,0,0.5863636363636363,0.7631216665518535,143.62328850607403,-0.3640000000000003,0.5202121649637843
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2023,231,146,85,8,28.9,0.0,0.0,231.0,10.0,30.0,75.0,3.34,73.8,17.6,Mostly Rural,12937.0,17.0,8.0,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,36.79653679653679,Balanced,25874.0,Low,9.375,23.1,0,0.0,0,0.8363636363636362,0.7631216665518535,285.2284146247198,0.1859999999999995,0.7758514626314571
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2024,264,153,111,11,24.0,6.0,38.0,220.0,22.5,55.0,47.0,3.61,65.6,9.4,Mixed Urban-Rural,25953.0,5.0,18.0,Yes,MUST Entry Test,Easy,45% / 100 marks,9.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,42.04545454545455,Balanced,51906.0,Mid,4.2727272727272725,29.333333333333332,0,16.666666666666664,0,0.959090909090909,0.7631216665518535,126.3823064770932,0.4559999999999995,0.5084878685343583
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Civil Engineering,STEM,2025,284,168,116,11,25.8,8.0,54.0,222.0,56.0,24.0,52.0,3.325,64.9,3.5,Mostly Rural,24962.0,10.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,40.845070422535215,Balanced,49924.0,Mid,4.7272727272727275,23.666666666666668,0,21.830985915492956,0,0.8295454545454546,0.7631216665518535,129.9975963464466,0.17099999999999982,0.41963269898580197
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2022,96,56,40,5,19.2,6.0,16.0,74.0,7.0,26.0,72.0,2.86,88.1,17.7,Mixed Urban-Rural,12686.0,6.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,10.0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,41.66666666666667,Balanced,25372.0,Low,14.4,9.6,0,22.916666666666664,0,0.618181818181818,0.7631216665518535,347.2331704240895,-0.2940000000000005,0.6298208994319204
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2023,95,54,41,5,19.0,0.0,2.0,93.0,22.5,42.0,52.0,2.91,79.8,12.3,Mostly Urban,24962.0,10.0,17.5,Yes,MUST Entry Test,Easy,45% / 100 marks,8.0,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,43.15789473684211,Balanced,49924.0,Mid,10.4,11.875,0,2.1052631578947367,0,0.6409090909090909,0.7631216665518535,159.84296130117778,-0.24400000000000022,0.5042525260121292
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2024,86,39,47,5,17.2,0.0,7.0,79.0,17.0,41.0,38.0,3.325,89.2,4.7,Mostly Rural,25185.0,15.0,23.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,54.65116279069767,Balanced,50370.0,Mid,7.6,7.166666666666667,0,8.13953488372093,0,0.8295454545454546,0.7631216665518535,177.0895374230693,0.17099999999999982,0.2210280014385788
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Computer Science,STEM,2025,102,41,61,5,20.4,6.0,2.0,94.0,7.0,9.0,48.0,3.13,89.6,8.7,Mostly Urban,39700.0,6.0,8.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,59.80392156862745,Balanced,79400.0,High,9.6,8.5,0,7.8431372549019605,0,0.7409090909090907,0.7631216665518535,112.84634760705288,-0.024000000000000465,0.2854322316298145
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2022,399,259,140,12,33.2,18.0,12.0,369.0,45.0,26.0,75.0,3.54,73.3,1.8,Mostly Urban,24962.0,1.0,17.0,Yes,MUST Entry Test,Easy,45% / 100 marks,12.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,35.08771929824561,Balanced,49924.0,Mid,6.25,33.25,0,7.518796992481203,0,0.9272727272727272,0.7631216665518535,146.82317122025478,0.3859999999999997,0.5179456306511422
PK-AJK-002,Mirpur University of Science & Technology,Public,AJK,Mirpur,2012,,W1,Electrical Engineering,STEM,2023,398,153,245,11,36.2,27.0,73.0,298.0,9.0,39.0,16.0,3.325,75.5,5.2,Mixed Urban-Rural,9444.0,15.0,4.0,Yes,MUST Entry Test,Easy,45% / 100 marks,11.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,61.55778894472361,Female Dominated,18888.0,Low,1.4545454545454546,36.18181818181818,0,25.125628140703515,0,0.8295454545454546,0.7631216665518535,399.724692926726,0.17099999999999982,0.3623792281932559
